;Movie title;Released Year;ImDb Rating
29;Ek Villain Returns;2022;4,600000
4;End of the Road;2022;4,700000
6;Moonfall;2022;5,100000
8;Morbius;2022;5,200000
14;The Karate Kid Part III;1989;5,300000
57;Spiderhead;2022;5,400000
85;Infinite;2021;5,400000
62;The 355;2022;5,500000
2;Brahmastra Part One: Shiva;2022;5,600000
61;Memory;2022;5,600000
66;Last Seen Alive;2022;5,600000
11;Samaritan;2022;5,700000
13;Jurassic World Dominion;2022;5,700000
81;The Matrix Resurrections;2021;5,700000
37;Lightyear;2022;5,900000
82;Suicide Squad;2016;5,900000
3;The Woman King;2022;6,100000
24;Day Shift;2022;6,100000
31;The Lost City;2022;6,100000
43;The Karate Kid Part II;1986;6,100000
94;Ambulance;2022;6,100000
32;Uncharted;2022;6,300000
50;Eternals;2021;6,300000
76;The King's Man;2021;6,300000
0;Thor: Love and Thunder;2022;6,400000
39;Killer Elite;2011;6,400000
16;The Gray Man;2022;6,500000
20;Medieval;2022;6,500000
92;Cobra;2022;6,500000
97;Sonic the Hedgehog 2;2022;6,500000
49;Road House;1989;6,600000
56;The Incredible Hulk;2008;6,600000
63;Divergent;2014;6,600000
93;Anna;2019;6,600000
52;Black Widow;2021;6,700000
91;Captain Marvel;2019;6,800000
10;Top Gun;1986;6,900000
23;Doctor Strange in the Multiverse of Madness;2022;7,000000
51;The Unbearable Weight of Massive Talent;2022;7,000000
53;Emergency Declaration;2021;7,000000
58;Thor;2011;7,000000
68;Hit: The First Case;2022;7,000000
74;Constantine;2005;7,000000
18;The Northman;2022;7,100000
42;The Mummy;1999;7,100000
64;Free Guy;2021;7,100000
95;Wrath of Man;2021;7,100000
12;Prey;2022;7,200000
21;Willow;1988;7,200000
38;Dragon Ball Super: Super Hero;2022;7,200000
67;The Suicide Squad;2021;7,200000
80;The Hunger Games;2012;7,200000
28;The Karate Kid;1984;7,300000
41;No Time to Die;2021;7,300000
46;Tenet;2020;7,300000
88;Black Panther;2018;7,300000
60;Vikrant Rona;2022;7,400000
83;Spider-Man;2002;7,400000
84;Nobody;2021;7,400000
89;John Wick;2014;7,400000
5;Bullet Train;2022;7,500000
19;DC League of Super-Pets;2022;7,500000
59;Collateral;2004;7,500000
79;Indiana Jones and the Temple of Doom;1984;7,500000
26;Thirteen Lives;2022;7,800000
30;Avatar;2009;7,800000
44;The Gentlemen;2019;7,800000
72;Rogue One: A Star Wars Story;2016;7,800000
15;The Batman;2022;7,900000
40;Thor: Ragnarok;2017;7,900000
22;Dune;2021;8,000000
33;RRR;2022;8,000000
54;Blade Runner 2049;2017;8,000000
65;Guardians of the Galaxy;2014;8,000000
7;Everything Everywhere All at Once;2022;8,100000
77;Mad Max: Fury Road;2015;8,100000
98;Pirates of the Caribbean: The Curse of the Black Pearl;2003;8,100000
99;Blade Runner;1982;8,100000
48;Jurassic Park;1993;8,200000
78;1917;2019;8,200000
17;Spider-Man: No Way Home;2021;8,300000
55;Karthikeya 2;2022;8,300000
70;Heat;1995;8,300000
1;Top Gun: Maverick;2022;8,400000
36;All Quiet on the Western Front;2022;8,400000
45;Avengers: Endgame;2019;8,400000
71;Indiana Jones and the Raiders of the Lost Ark;1981;8,400000
86;Avengers: Infinity War;2018;8,400000
87;Vikram;2022;8,400000
96;Oldboy;2003;8,400000
69;Gladiator;2000;8,500000
73;Léon: The Professional;1994;8,500000
25;Sita Ramam;2022;8,600000
35;The Dark Knight;2008;9,000000
75;The Matrix;1999;8,700000
9;The Lord of the Rings: The Fellowship of the Ring;2001;8,800000
34;The Lord of the Rings: The Two Towers;2002;8,800000
47;Inception;2010;8,800000
27;The Lord of the Rings: The Return of the King;2003;9,000000
