;Movie title;Released Year;ImDb Rating
0;Thor: Love and Thunder;2022;6,4
1;Top Gun: Maverick;2022;8,4
2;Brahmastra Part One: Shiva;2022;5,6
3;The Woman King;2022;6,1
4;End of the Road;2022;4,7
5;Bullet Train;2022;7,5
6;Moonfall;2022;5,1
7;Everything Everywhere All at Once;2022;8,1
8;Morbius;2022;5,2
9;The Lord of the Rings: The Fellowship of the Ring;2001;8,8
10;Top Gun;1986;6,9
11;Samaritan;2022;5,7
12;Prey;2022;7,2
13;Jurassic World Dominion;2022;5,7
14;The Karate Kid Part III;1989;5,3
15;The Batman;2022;7,9
16;The Gray Man;2022;6,5
17;Spider-Man: No Way Home;2021;8,3
18;The Northman;2022;7,1
19;DC League of Super-Pets;2022;7,5
20;Medieval;2022;6,5
21;Willow;1988;7,2
22;Dune;2021;8
23;Doctor Strange in the Multiverse of Madness;2022;7
24;Day Shift;2022;6,1
25;Sita Ramam;2022;8,6
26;Thirteen Lives;2022;7,8
27;The Lord of the Rings: The Return of the King;2003;9
28;The Karate Kid;1984;7,3
29;Ek Villain Returns;2022;4,6
30;Avatar;2009;7,8
31;The Lost City;2022;6,1
32;Uncharted;2022;6,3
33;RRR;2022;8
34;The Lord of the Rings: The Two Towers;2002;8,8
35;The Dark Knight;2008;9
36;All Quiet on the Western Front;2022;8,4
37;Lightyear;2022;5,9
38;Dragon Ball Super: Super Hero;2022;7,2
39;Killer Elite;2011;6,4
40;Thor: Ragnarok;2017;7,9
41;No Time to Die;2021;7,3
42;The Mummy;1999;7,1
43;The Karate Kid Part II;1986;6,1
44;The Gentlemen;2019;7,8
45;Avengers: Endgame;2019;8,4
46;Tenet;2020;7,3
47;Inception;2010;8,8
48;Jurassic Park;1993;8,2
49;Road House;1989;6,6
50;Eternals;2021;6,3
51;The Unbearable Weight of Massive Talent;2022;7
52;Black Widow;2021;6,7
53;Emergency Declaration;2021;7
54;Blade Runner 2049;2017;8
55;Karthikeya 2;2022;8,3
56;The Incredible Hulk;2008;6,6
57;Spiderhead;2022;5,4
58;Thor;2011;7
59;Collateral;2004;7,5
60;Vikrant Rona;2022;7,4
61;Memory;2022;5,6
62;The 355;2022;5,5
63;Divergent;2014;6,6
64;Free Guy;2021;7,1
65;Guardians of the Galaxy;2014;8
66;Last Seen Alive;2022;5,6
67;The Suicide Squad;2021;7,2
68;Hit: The First Case;2022;7
69;Gladiator;2000;8,5
70;Heat;1995;8,3
71;Indiana Jones and the Raiders of the Lost Ark;1981;8,4
72;Rogue One: A Star Wars Story;2016;7,8
73;Léon: The Professional;1994;8,5
74;Constantine;2005;7
75;The Matrix;1999;8,7
76;The King's Man;2021;6,3
77;Mad Max: Fury Road;2015;8,1
78;1917;2019;8,2
79;Indiana Jones and the Temple of Doom;1984;7,5
80;The Hunger Games;2012;7,2
81;The Matrix Resurrections;2021;5,7
82;Suicide Squad;2016;5,9
83;Spider-Man;2002;7,4
84;Nobody;2021;7,4
85;Infinite;2021;5,4
86;Avengers: Infinity War;2018;8,4
87;Vikram;2022;8,4
88;Black Panther;2018;7,3
89;John Wick;2014;7,4
90;Star Wars: Episode IV - A New Hope;1977;8,6
91;Captain Marvel;2019;6,8
92;Cobra;2022;6,5
93;Anna;2019;6,6
94;Ambulance;2022;6,1
95;Wrath of Man;2021;7,1
96;Oldboy;2003;8,4
97;Sonic the Hedgehog 2;2022;6,5
98;Pirates of the Caribbean: The Curse of the Black Pearl;2003;8,1
99;Blade Runner;1982;8,1
100;Predator;1987;7,8
101;The Dark Knight Rises;2012;8,4
102;Khuda Haafiz Chapter 2 Agni Pariksha;2022;7,8
103;Operation Fortune: Ruse de guerre;2022;7,3
104;Alita: Battle Angel;2019;7,3
105;Deadpool;2016;8
106;The Last Duel;2021;7,4
107;Blacklight;2022;4,7
108;El Camino: A Breaking Bad Movie;2019;7,3
109;Spider-Man: Homecoming;2017;7,4
110;George of the Jungle;1997;5,5
111;Shang-Chi and the Legend of the Ten Rings;2021;7,4
112;A Knight's Tale;2001;6,9
113;Snow White and the Huntsman;2012;6,1
114;Dunkirk;2017;7,8
115;Baywatch;2017;5,5
116;Drive;2011;7,8
117;American Sniper;2014;7,3
118;Spider-Man: Into the Spider-Verse;2018;8,4
119;Thor: The Dark World;2013;6,8
120;Wonder Woman;2017;7,4
121;The Avengers;2012;8
122;Dune;1984;6,3
123;Ready Player One;2018;7,4
124;Zack Snyder's Justice League;2021;8
125;Clash of the Titans;2010;5,8
126;The Fifth Element;1997;7,6
127;The Hunt;2020;6,5
128;The Adam Project;2022;6,7
129;The Terminator;1984;8,1
130;Sicario;2015;7,6
131;Iron Man;2008;7,9
132;Batman Begins;2005;8,2
133;Ghostbusters;1984;7,8
134;The Next Karate Kid;1994;4,5
135;Vampire Academy;2014;5,4
136;Independence Day;1996;7
137;Aliens;1986;8,4
138;Looper;2012;7,4
139;F9: The Fast Saga;2021;5,2
140;Mission: Impossible - Fallout;2018;7,7
141;Terminator 2: Judgment Day;1991;8,6
142;The Nice Guys;2016;7,3
143;Star Trek Beyond;2016;7
144;Indiana Jones and the Last Crusade;1989;8,2
145;300;2006;7,6
146;The Mummy: Tomb of the Dragon Emperor;2008;5,2
147;Guardians of the Galaxy Vol. 2;2017;7,6
148;Edge of Tomorrow;2014;7,9
149;The Contractor;2022;5,8
150;The Man from Toronto;2022;5,8
151;Casino Royale;2006;8
152;Twister;1996;6,4
153;Star Wars: Episode IX - The Rise of Skywalker;2019;6,5
154;Fury;2014;7,5
155;Die Hard;1988;8,2
156;Kingsman: The Secret Service;2014;7,7
157;Baby Driver;2017;7,6
158;Jurassic World;2015;6,9
159;Escape from Alcatraz;1979;7,6
160;Ford v Ferrari;2019;8,1
161;Warrior;2011;8,2
162;Kill Bill: Vol. 1;2003;8,2
163;Deadpool 2;2018;7,7
164;The Mummy;2017;5,4
165;Vendhu Thanindhathu Kaadu;2022;8,1
166;Van Helsing;2004;6
167;True Lies;1994;7,3
168;The Mummy Returns;2001;6,4
169;Logan;2017;8,1
170;Captain America: The First Avenger;2011;6,9
171;Ready or Not;2019;6,8
172;The Core;2003;5,5
173;Point Break;1991;7,2
174;Jurassic World: Fallen Kingdom;2018;6,1
175;Hot Fuzz;2007;7,8
176;X-Men;2000;7,3
177;From Dusk Till Dawn;1996;7,2
178;Secret Headquarters;2022;5
179;The Predator;2018;5,3
180;Star Trek;2009;7,9
181;Watchmen;2009;7,6
182;Star Wars: Episode I - The Phantom Menace;1999;6,5
183;Mortal Kombat;2021;6,1
184;The Revenant;2015;8
185;Red Notice;2021;6,3
186;Apocalypto;2006;7,8
187;The Tomorrow War;2021;6,5
188;Black Hawk Down;2001;7,7
189;Paws of Fury: The Legend of Hank;2022;5,6
190;Jumanji: The Next Level;2019;6,7
191;Venom: Let There Be Carnage;2021;5,9
192;Transformers;2007;7
